City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,gunnedah,-30.9833,150.25,308.9,21,0,1.72,AU,1702353367
349,vylkove,45.4021,29.586,275.83,90,75,3.23,UA,1702353368
350,aasiaat,68.7098,-52.8699,270.42,91,100,1.92,GL,1702353368
351,yucheng,34.9289,116.4653,273.38,92,7,1.51,CN,1702353369
352,dudinka,69.4058,86.1778,251.6,97,100,5.66,RU,1702353369
353,bartica,6.4,-58.6167,298.33,98,89,1.0,GY,1702353370
354,tanumah,27.1,44.1333,289.54,29,100,4.58,SA,1702353371
355,onsong,42.9572,129.9933,267.47,27,2,3.5,KP,1702353371
356,maksatikha,57.797,35.8825,267.23,92,100,4.57,RU,1702353371
357,port isabel,26.0734,-97.2086,289.83,71,0,2.06,US,1702353302
358,i-n-salah,27.1935,2.4607,286.81,38,49,5.06,DZ,1702353372
359,ravar,31.2656,56.8055,284.29,25,58,0.65,IR,1702353374
360,tual,-5.6667,132.75,302.01,73,86,6.89,ID,1702353375
361,ternate,0.8,127.4,302.06,74,77,4.78,ID,1702353376
362,newman,37.3138,-121.0208,282.75,70,8,0.89,US,1702353376
